,Title,Published Date,Featured Image,Launches,News Sites,URL
9,SpaceX poised for back-to-back launches Sunday at Cape Canaveral,2020-08-29 00:26:00+00:00,https://mk0spaceflightnoa02a.kinstacdn.com/wp-content/uploads/2020/08/f9_saocomtraj.jpg,"['82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c']",spaceflightnow,https://spaceflightnow.com/2020/08/29/spacex-poised-for-back-to-back-launches-sunday-at-cape-canaveral/
8,"SpaceX, Rocket Lab, ULA all have rocket launches planned this weekend",2020-08-29 04:24:38+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/Banner1.jpg,"['6cdf9823-7574-4c0d-a3b2-956c7b364756', '82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c', 'a9526278-ef96-48ba-abbd-275f1370d6c0']",teslarati,https://www.teslarati.com/spacex-rocket-lab-ula-all-have-rocket-launches-planned-this-weekend/
7,SpaceX Falcon 9 doubleheader still on track after fiery ULA launch abort,2020-08-30 04:07:26+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/Starlink-10-SkySat-Falcon-9-B1049-081820-Richard-Angle-launch-1.jpg,"['82b600f6-6c2d-4694-a263-cec4525714cf', '98a5da32-4719-495b-9713-fcb5c058f31c', '6cdf9823-7574-4c0d-a3b2-956c7b364756']",teslarati,https://www.teslarati.com/spacex-falcon-9-doubleheader-ula-launch-abort/
6,SpaceX postpones first Super Sunday flight due to weather,2020-08-30 12:29:21+00:00,https://www.nasaspaceflight.com/wp-content/uploads/2020/08/EexNGgyWoAA8v93.jpg,['82b600f6-6c2d-4694-a263-cec4525714cf'],nasaspaceflight,https://www.nasaspaceflight.com/2020/08/spacex-super-sunday-100th-falcon-launch/
5,SpaceX to attempt first East Coast polar launch in half a century as storms loom,2020-08-30 21:42:35+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/SAOCOM-1B-Falcon-9-B1059-LC-40-SpaceX-prelaunch-fairing-1-crop-c-1024x463.jpg,['98a5da32-4719-495b-9713-fcb5c058f31c'],teslarati,https://www.teslarati.com/spacex-east-coast-polar-launch-bad-weather/
4,Nearby storms do not prevent SpaceX from launching its 100th mission,2020-08-31 00:12:12+00:00,https://cdn.arstechnica.net/wp-content/uploads/2020/08/SAOCOM-1B-Aug-30-2020-6383-760x380.jpg,['98a5da32-4719-495b-9713-fcb5c058f31c'],arstechnica,https://arstechnica.com/science/2020/08/nearby-storms-do-not-prevent-spacex-from-launching-its-100th-mission/
3,SpaceX Conducts First Polar Launch from Cape in over 50 Years,2020-08-31 00:20:48+00:00,https://www.nasaspaceflight.com/wp-content/uploads/2020/08/EgtQLE_XkAg0vXd.jpg,['98a5da32-4719-495b-9713-fcb5c058f31c'],nasaspaceflight,https://www.nasaspaceflight.com/2020/08/spacex-polar-cape-50-years/
2,"SpaceX launches Argentine radar satellite, rideshare smallsats on Falcon 9 rocket",2020-08-31 01:16:15+00:00,https://spacenews.com/wp-content/uploads/2020/08/Saocom-1b-deployment-879x485.png,['98a5da32-4719-495b-9713-fcb5c058f31c'],spacenews,https://spacenews.com/spacex-launches-argentine-radar-satellite-rideshare-smallsats-on-falcon-9-rocket/
1,SpaceX changes the game with 100th rocket launch,2020-08-31 01:50:21+00:00,https://www.teslarati.com/wp-content/uploads/2020/08/SAOCOM-1B-Falcon-9-B1059-launch-Richard-Angle-LZ-1-landing-1-crop-c-1024x487.jpg,['98a5da32-4719-495b-9713-fcb5c058f31c'],teslarati,https://www.teslarati.com/spacex-changes-the-game-100th-launch/
0,SpaceX launches first polar orbit mission from Florida in decades,2020-08-31 05:20:00+00:00,https://mk0spaceflightnoa02a.kinstacdn.com/wp-content/uploads/2020/08/f9_saocomtraj.jpg,['98a5da32-4719-495b-9713-fcb5c058f31c'],spaceflightnow,https://spaceflightnow.com/2020/08/31/spacex-launches-first-polar-orbit-mission-from-florida-in-decades/
